cluster_id,cluster_name,example_num,opening,star_rating,domain
0,Product Reference,1,"The immediate follow-up to ""Prince Caspian,"" ""The Voyage of the",5.0,Books
0,Product Reference,2,This guide book covers a wide range of habitats: from,3.0,Books
0,Product Reference,3,I needed this cable 4-pin to 4-pin to get Hi-8,4.0,Electronics
0,Product Reference,4,"I bought this volume control for sports activities. Big mistake,",1.0,Electronics
0,Product Reference,5,Never got a clean crimp with this (even when using,2.0,Electronics
1,Acquisition Narrative,1,Bought this bag specifically to take to the Galapagos Islands,5.0,Electronics
1,Acquisition Narrative,2,An entertaining and sometimes insightful series of sketches about ex-pat,5.0,Books
1,Acquisition Narrative,3,I bought a copy of this years ago and remember,2.0,Books
1,Acquisition Narrative,4,My home suffered a lightening strike and I lost about,5.0,Electronics
1,Acquisition Narrative,5,Heed all the reviewers who say to get a switch,5.0,Electronics
2,Evaluative Positioning,1,I wasn't exactly sure why I purchased the most expensive,5.0,Electronics
2,Evaluative Positioning,2,"This is the first Sharpe novel I have read, although",5.0,Books
2,Evaluative Positioning,3,I've owned a Collins gem Portuguese dictionary since the 1970's.,4.0,Books
2,Evaluative Positioning,4,the merits of this work by christie lie as i,5.0,Books
2,Evaluative Positioning,5,"Despite most people giving this lens a five-star rating, i",3.0,Electronics
3,Direct Evaluation,1,"Like so many other fans, I've waited a grand total",3.0,Books
3,Direct Evaluation,2,...you simply can't beat this deal! GREAT LITTLE TRIPOD! Does,5.0,Electronics
3,Direct Evaluation,3,"This series of tomes are the ""one shop"" for all",5.0,Books
3,Direct Evaluation,4,I am a speech therapist and work in the schools.,5.0,Books
3,Direct Evaluation,5,"When I was young and sick in bed, a friend",5.0,Books
4,Specific Identification,1,"I purchased this DVD player in June 2000. In August,",1.0,Electronics
4,Specific Identification,2,Search the Seagate community forum on this one. It will,1.0,Electronics
4,Specific Identification,3,"I bought a belkin router, and it kept disconnecting me",5.0,Electronics
4,Specific Identification,4,"First of all, this product charges my Garmin 1450 very",1.0,Electronics
4,Specific Identification,5,How'd I ever miss this one? Hell at the Breech,5.0,Books
5,Affective Stance,1,We got this to load up our DVD's into instead,4.0,Electronics
5,Affective Stance,2,I couldn't be happier with my Pentax 50mm lens and,5.0,Electronics
5,Affective Stance,3,I was excited to begin my first Agatha Christie book,1.0,Books
5,Affective Stance,4,I am not sure if Martin has simply lost interest,2.0,Books
5,Affective Stance,5,Very good lens for your DSLR if you don't want,5.0,Electronics
6,Contextual Framing,1,The only problem I have with this is that it,4.0,Books
6,Contextual Framing,2,Lord Fouls Bane is the start of a true classic,5.0,Books
6,Contextual Framing,3,This is a well made bag which can carry most,4.0,Electronics
6,Contextual Framing,4,That Hollywood hasn't scratched the surface of the depth of,5.0,Books
6,Contextual Framing,5,You can see other positive reviews of the etrex Legend,4.0,Electronics
7,Terse Evaluation,1,Well edited and well brought out on high quality paper.,4.0,Books
7,Terse Evaluation,2,"As You Like It boasts one of Shakespeare's most vivid,",5.0,Books
7,Terse Evaluation,3,"Junk, Only one ethernet port worked. Tech support sucked. Will",1.0,Electronics
7,Terse Evaluation,4,"Louisa May Alcott wrote many books, but ""Little Women"" retains",5.0,Books
7,Terse Evaluation,5,"FOR PETE'S SAKE! THIS IS NOT A 3, 4 OR",2.0,Books
