cluster,cluster_name,opening,reviewText,star_rating,helpfulness_votes,word_count,domain
0,Product Reference,"The immediate follow-up to ""Prince Caspian,"" ""The Voyage of the","The immediate follow-up to ""Prince Caspian,"" ""The Voyage of the Dawn Treader"" is one of C.S. Lewis' classic Narnia series, and contains all the magic, wonder and adventure of the others in the series. Maybe more.
Like most of the Narnia books, ""Voyage"" takes little time to get moving. Edmund and Lucy are staying with their mean and arrogant little cousin Eustace (Peter and Susan are excised from the story for being too old), when the three children are pulled into the world of Narnia. Edmund and Lucy are delighted to have arrived, but Eustace is bitter at the situation. He is made even more bitter because of where they appear: In the middle of the ocean, where they are picked up by King Caspian on his ship, the Dawn Treader.
Caspian is in the midst of a grand journey in which he is trying to sail to the end of the world. Tossed into the mix is his quest to find seven companions of his father, who fled Narnia when the bad folks from ""Prince Caspian"" took over. The entire plot is little more than an excuse to sail to lands unknown and explore the most fantastic sights Narnia has to offer. The story does not fail in that endeavor.
While it begins as Another Narnia Adventure, ""Voyage"" quickly becomes an exploration adventure of the most classic kind, an archetype of a tale in which every action drives the characters towards the next episode and the next land of wonder. Like other timeless tales of this type, the device is remarkably effective in keeping the reader's interest and repeatedly engage one's sense of awe.
Naturally, there are Lessons thrown in for good measure. Lewis can occasionally grate with moralizing, but ""Voyage's"" moral tales are not grating in the least. Most are tales that have been told time and again throughout mankind's history. Each island has its own little moral message, but they are subtle, fit with the story well, serve the sense of wonder the reader feels, and never intrude on the tale. That's a welcome thing.
In the end, no terrible bad guy is vanquished. No kingdom is won. Nobody turns out to secretly be royalty. None of that. It simply ends when the quest is done. And that end satisfies.
""The Voyage of the Dawn Treader"" may be the very best of the Narnia books and a journey for the ages. Here, Lewis crafts a classic tale of a fantastic journey, and he does so with a finely balanced sense of pacing. ""Voyage"" never fails to be engaging and will surely delight readers both young and old.",5.0,4.0,440,Books
0,Product Reference,This guide book covers a wide range of habitats: from,"This guide book covers a wide range of habitats: from the jungle tropics to the southern tip of the continent and even Antactica. If you are going to be traveling widely, this guide might well be your best bet. The illustrations are good and the descriptions on the facing page are quite useful. The major drawback is that the distribution maps are at the back and that's annoying. (Once you've found an illustration that seems to identify the bird you're seeing, you need to note both the plate and illustration number before heading back to the range maps to see if it's likely to be found in your present location. All too often I found that wasn't the case!)

If you're going to do your birdwatching in or near the mountains or along the southern coast, I'd suggest that you carefully consider, instead,  Birds of Chile by Jaramillo et al, a Princeton Guide. It's a superb field guide with many illustrations of the birds in flight, as well as sitting still; its descriptions are excellent and the range maps are on the facing page. I bought a copy of it on my return from Patagonia and it's definitely the guide I'll take next time -- not only to Chile, but to southern Argentina, as well!",3.0,27.0,215,Books
0,Product Reference,I needed this cable 4-pin to 4-pin to get Hi-8,"I needed this cable 4-pin to 4-pin to get Hi-8 digital video from a Sony camera uploaded to an XP laptop I have (my work laptop, actually).  Since Sony chose not to write the drivers necessary to accomplish this with Vista 64, I needed to buy this cable.  Sony, customer-friendly fellas that they are, wanted to charge me $39.99 for the cable and said they couldn't get it to me for a couple of weeks.  I don't remember what I spent on the Belkin cable, but it wasn't much north of ten bucks and it got to me two days later.  And it works.

But I won't be buying any Sony products any time soon.",4.0,3.0,115,Electronics
0,Product Reference,"I bought this volume control for sports activities. Big mistake,","I bought this volume control for sports activities. Big mistake, it lasted for less than three months, the cable connection to the volume control is broken. The potentiometer that adjusts the volume is a piece of crap too. Don't buy this product for sports use.",1.0,2.0,45,Electronics
0,Product Reference,Never got a clean crimp with this (even when using,"Never got a clean crimp with this (even when using Belkin-brand plugs, what's worse). It doesn't strip small gauges or even a CAT5 jacket properly. Sometimes the catch accidentally slips in. Plus it's heavy.",2.0,3.0,34,Electronics
0,Product Reference,What a wonderful story! Starts as classic pirate romance novel,"What a wonderful story!

Starts as classic pirate romance novel - sailor who is ready to get what he wants and maiden who does not want the sailor. Almost like The Taming the Shrew. Even after the maiden is abducted, I still thought that it's all part of the sailors plan, for taming his wife to be. That's when the first twist comes into the story. The story is full of twist and turns, and the minute you think you know what will happen next, it might go that way or not.

It's a story full of love and passion, fear and grief, trust and hope. It is wonderfully written, nice tempo, nice fluidity. Reminds me a lot of Barbara Erskine books, or should it be the other way around, since Lion Triumphant is written almost 40 years ago and Barbara Erskine first book was published some 30 years ago. But the way, how Philippa Carr mixes real historic events into her novels are very enjoyable experience.

It is good change from contemporary and modern romance novels.",4.0,2.0,177,Books
0,Product Reference,but not so much more than the jewel cases. The,but not so much more than the jewel cases. The Pros: they don't crack and the size is great.  Con: they do seem to have a problem staying latched.,3.0,2.0,29,Electronics
0,Product Reference,"THIRD GIRL has an ending that always surprises me, andI","THIRD GIRL has an ending that always surprises me, andI must have read the book ten times or more, the plot if so complex I can only barely remember how it comes out.  I feel the book is a greta evocation of Swinging London of the 1960s and that it should have been filmed back then, maybe with the following cast, Rita Tushingham as poor Norma Restarick; Tom Courtenay as Dr. Stillingfleet, her psychiatrist who falls in love with her; Vanessa Redgrave could have played Frances Cary; Terence Stamp could have been David Baker, the ""Peacock.""

I wonder if Christie ws thinking back to her own early vocal training when she gave NORMA and LOUISE their names, because of course they were famous French operas at the time Christie was studying in Paris.  ""Louise"" was written by Charpentier, and that becomes her last name, a coincidence no one remarks about in the novel itself.

It is a book in which Christie seems to be reviewing her own astonishing career.  Mrs. Oliver suggests that she might write a book in which a child commits a murder: ""Not meaning to, but just by her father telling her to give her mother a drink made of pounded up box hedge,"" thus neatly conflating the plots of two much earlier novels from the 1950s, CROOKED HOUSE and A POCKETFUL OF RYE.  I thought also the glamorous fresco painted on the living room wall of the flat where the three girls live, a harlequin leaping into space, harked back to one of Christie's famous characters, Harley Quin from THE MYSTERIOUS MR. QUIN and may have provoked Christie to think further about Quin, because as we know she was soon to return to him after not having written about him for 30 years, in THE HARLEQUIN TEA SET.",5.0,5.0,302,Books
0,Product Reference,The first one of these I had for 9 months.,"The first one of these I had for 9 months.  My internet speed started going slower and slower.  I had my ISP provider out several times to check the line, speed was fine.  Never thought it might be the router, until I read several review on this piece of equipment.  The router just went out, so I bought another one.  Worked great for 10 minutes.  Now I have no internet connection unless I hook my PC directly up the the DSL modem.  This is going back to the store and I'll never buy another Linksys router/switch/hub again.",1.0,4.0,97,Electronics
0,Product Reference,"Unlike many of the other Minidisc owners on here, I","Unlike many of the other Minidisc owners on here, I happen to like MP3. The minidisks are great....but for something small and light to tuck in my pocket, nothing beats the Rio! It's at least half the size and a third the  weight of my minidisk player. And yes, the size DOES make a difference to  many people.
I love getting free MP3's off the web, and while I *could*  put them on minidisks, I like being able to every day or so put a  completely different assortment of songs on the Rio to listen to. It's  certainly not much harder than recording a disk and I'm one of those people  that can listen to favorite songs over and over so a little repetition  doesn't bother ME any.
Unfortunately, the Rio is not without faults. In  fact, I have a hard time recommending it. 32 meg is definitely NOT enough.  I got a Flash card, and have started having varying problems, first with my  memory being unusable, and then having small chunks become corrupted. Am  now having problems with the player intermittently stopping on its own and  freezing up so I have to remove the battery. Oh, should mention that the  first Rio I got had a broken battery compartment and was returned. Am still  waiting on my rebates. HATE not being able to use it on Windows NT, and not  having USB. And the headsets that come with it are worthless for many  people. Personally, I'm not sure I even want to try the later Rio models,  as I've had so much trouble with this one in only a few months of owning  it.",2.0,17.0,275,Electronics
