reviewerID,asin,domain,open_10w,cluster,cluster_name,manual_label,confidence
A37OT4OR6ANJVW,000226157X,Books,This is most probably my last Jack Higgins novel. There,5,Affective Stance,,
AAC9G2LU25PBG,0001844423,Books,This is a beautiful paperback box set of the Narnia,6,Contextual Framing,,
A3LAQSHW9IVKUO,0002005263,Books,"Typical Hillerman, the only mystery set in modern day- series",4,Specific Identification,,
A1EACAPTW9KTJF,0002255863,Books,"There's really not much more to say beyond what's said,",5,Affective Stance,,
AB442YVDP2VKX,0006166032,Books,I started the Aubrey/Maturin series with an audiobook version of,1,Acquisition Narrative,,
A11J09ZEKKH71R,0006276628,Books,This book is one of the best books I've read,6,Contextual Framing,,
A78R8AL1YN6SM,0002247399,Books,**Spoiler Alert** It is one thing to intermittently kill off,7,Terse Evaluation,,
A3O68LUHM7OFJ,0002247399,Books,George R. R. Martin is a brilliant writer and he,4,Specific Identification,,
A1ORZ2ZH5MIZCG,0002558173,Books,This book not only compliments the early Sharpe series of,1,Acquisition Narrative,,
A32J48LYJ2BNNY,0002180618,Books,This is the book that started it all. I was,3,Direct Evaluation,,
AL48AYYF254TV,0002232618,Books,I found this book delightful from beginning to end. Her,0,Product Reference,,
A1RAUVCWYHTQI4,000215725X,Books,A really wonderful book about the city of Delhi. Dalrymple,0,Product Reference,,
A1BAHT46HPEVH1,0004723724,Books,Oscar Wilde can turn a phrase and write a double,2,Evaluative Positioning,,
A2Z4WO6M9NQOLB,000215725X,Books,"This book concerns the year Dalrymple spends in Delhi, attempting",0,Product Reference,,
A3I804Y6PB1KS3,0002232618,Books,"I kept reading this novel, hoping that the conclusion would",2,Evaluative Positioning,,
A20UTBMNQ9T4YH,0006152465,Books,This was the first fantasy series I ever read. This,3,Direct Evaluation,,
A3G2JYXEW059CY,0002005263,Books,"For years, Tony Hillerman has been giving us wonderful plots,",7,Terse Evaluation,,
A14DZ9B1A3LBX2,0001713256,Books,I don't know why this book has flown under the,6,Contextual Framing,,
AI5OR1HSYXCCL,0002171856,Books,Overall this is a great book. Not just for survival,3,Direct Evaluation,,
A38XYGOWUGJ4T9,000215949X,Books,As my husband and I have a predelection for fine,1,Acquisition Narrative,,
